epoch,train_loss,valid_acc,test_acc,alpha
0,686.8140997886658,0.17325,0.1704,1.0914666652679443
1,486.23042249679565,0.51925,0.515,0.5309079885482788
2,382.1318711042404,0.6575,0.6485,0.7118431329727173
3,325.77549052238464,0.11258333333333333,,1.0321619510650635
4,279.87316250801086,0.32775,,1.446155309677124
5,255.6674007177353,0.2930833333333333,,1.5562692880630493
6,242.05633491277695,0.10266666666666667,,1.1544057130813599
7,224.23273026943207,0.19816666666666666,,1.537927269935608
8,212.08548086881638,0.21133333333333335,,1.2678489685058594
9,203.1780709028244,0.34141666666666665,,1.142133355140686
10,188.74936324357986,0.23733333333333334,,1.1626617908477783
11,177.64887845516205,0.18258333333333332,,1.1162850856781006
12,171.5018249154091,0.12075,,0.9423514008522034
13,164.43566036224365,0.10491666666666667,,1.0573532581329346
14,156.6866484284401,0.197,,0.9305207133293152
15,151.35296869277954,0.12375,,0.8461084365844727
16,144.99586230516434,0.09916666666666667,,0.829078197479248
17,141.14269125461578,0.10958333333333334,,0.8233444690704346
18,136.81217703223228,0.24233333333333335,,0.7560439705848694
19,133.6057234108448,0.21358333333333332,,0.7736783623695374
20,130.82603299617767,0.4960833333333333,,0.7373448610305786
21,128.31463330984116,0.10641666666666667,,0.6287160515785217
22,126.35930293798447,0.11325,,0.6450789570808411
23,125.14222973585129,0.18108333333333335,,0.6796386241912842
24,123.86782521009445,0.19158333333333333,,0.6123685240745544
25,122.82683458924294,0.17233333333333334,,0.6404600739479065
26,121.52904871106148,0.1005,,0.612174928188324
27,121.6875656247139,0.18941666666666668,,0.6035082936286926
28,120.89300435781479,0.10241666666666667,,0.6282944679260254
29,120.69442760944366,0.22525,,0.5937453508377075
30,120.15605160593987,0.10233333333333333,,0.6230891346931458
31,119.6711485683918,0.19041666666666668,,0.6299353837966919
32,119.35425198078156,0.1875,,0.5986862778663635
33,118.89459785819054,0.102,,0.5964304208755493
34,118.90192031860352,0.09941666666666667,,0.5911082625389099
35,118.85519981384277,0.19233333333333333,,0.6052107214927673
36,118.35641777515411,0.16675,,0.6142337918281555
37,118.2783473432064,0.08733333333333333,,0.5573976039886475
38,118.52163097262383,0.10141666666666667,,0.5773816704750061
39,117.81432664394379,0.098,,0.6058530807495117
40,102.72536733746529,0.6453333333333333,,0.46417465806007385
41,100.44625756144524,0.50675,,0.46730849146842957
42,99.95686411857605,0.27725,,0.47292280197143555
43,99.6090398132801,0.3094166666666667,,0.4597703814506531
44,99.48727774620056,0.202,,0.45207133889198303
45,99.26829868555069,0.44616666666666666,,0.45628154277801514
46,98.96061196923256,0.51925,,0.43968769907951355
47,98.65893816947937,0.17033333333333334,,0.44653767347335815
48,98.57986408472061,0.30333333333333334,,0.44074347615242004
49,98.7004399895668,0.10291666666666667,,0.4510306119918823
50,98.42955565452576,0.2698333333333333,,0.4356989562511444
51,98.1482945382595,0.38,,0.4260156452655792
52,98.31057325005531,0.314,,0.4325011372566223
53,98.2601692378521,0.23508333333333334,,0.4241059422492981
54,97.93092089891434,0.10025,,0.4281957745552063
55,97.82577058672905,0.33641666666666664,,0.4189424216747284
56,97.53419595956802,0.19541666666666666,,0.4115515947341919
57,97.56130918860435,0.33691666666666664,,0.4277491271495819
58,97.53444853425026,0.16041666666666668,,0.4147920608520508
59,97.4748709499836,0.26016666666666666,,0.41839373111724854
60,95.11966040730476,0.8993333333333333,0.9045,0.38938939571380615
61,94.35707458853722,0.8525,,0.39334970712661743
62,94.20336049795151,0.8921666666666667,,0.39426249265670776
63,94.0647137761116,0.87175,,0.3957849144935608
64,93.91558885574341,0.9011666666666667,0.9037,0.39691856503486633
65,94.00166863203049,0.8951666666666667,,0.39402151107788086
66,94.40270125865936,0.8955,,0.39582741260528564
67,94.16471311450005,0.8431666666666666,,0.3963446617126465
68,93.90686652064323,0.8205,,0.39409810304641724
69,94.1135410964489,0.8728333333333333,,0.3940735161304474
70,94.14724457263947,0.8483333333333334,,0.3953751027584076
71,93.97536200284958,0.8519166666666667,,0.39598098397254944
72,93.89128506183624,0.8304166666666667,,0.3953076899051666
73,93.99216201901436,0.8671666666666666,,0.39453423023223877
74,93.81492367386818,0.7385,,0.39439064264297485
